review_id,platform,rating,review_text,user_name,date,app_version
1,Google Play,2,Keeps freezing after 5 minutes of use.,user_1,2025-07-20,3.1.0
2,Google Play,4,Amazing app!,user_2,2025-07-17,3.1.0
3,App Store,3,Make money fast $$$,user_3,2025-08-10,2.2.0
4,Google Play,1,Too expensive for what it offers.,user_4,2025-07-30,3.1.0
5,Google Play,4,Please add dark mode.,user_5,2025-06-26,3.1.0
6,Google Play,5,Love the new feature update.,user_6,2025-07-21,3.0.1
7,Google Play,3,Make money fast $$$,user_7,2025-06-30,2.1.3
8,App Store,1,Notifications stopped working.,user_8,2025-07-19,2.2.0
9,App Store,5,Best productivity app I've used!,user_9,2025-07-13,3.1.0
10,Google Play,3,Would love to see calendar integration.,user_10,2025-07-04,3.1.0
11,App Store,2,Too expensive for what it offers.,user_11,2025-08-05,3.0.1
12,Google Play,1,Ads are very annoying.,user_12,2025-07-06,3.0.1
13,App Store,2,Too expensive for what it offers.,user_13,2025-07-03,3.0.1
14,Google Play,4,Would love to see calendar integration.,user_14,2025-07-17,2.2.0
15,App Store,4,Missing functionality for exporting data.,user_15,2025-07-08,2.2.0
16,Google Play,2,Poor customer service response.,user_16,2025-06-30,3.0.1
17,App Store,4,Could you include a widget on the home screen?,user_17,2025-08-21,3.1.0
18,App Store,4,asdfghjkl qwertyuiop,user_18,2025-08-18,3.1.0
19,Google Play,5,Love the new feature update.,user_19,2025-08-03,2.1.3
20,Google Play,3,Add support for multiple accounts.,user_20,2025-07-10,3.1.0
21,Google Play,5,Love the new feature update.,user_21,2025-06-26,3.0.1
22,Google Play,5,"Works perfectly, no issues at all.",user_22,2025-08-20,3.1.0
23,Google Play,3,Add support for multiple accounts.,user_23,2025-06-30,2.2.0
24,App Store,1,asdfghjkl qwertyuiop,user_24,2025-08-03,2.2.0
25,App Store,2,Too expensive for what it offers.,user_25,2025-08-01,2.1.3
26,Google Play,2,Data sync not working between devices.,user_26,2025-07-23,3.1.0
27,App Store,2,Can't login since the last update.,user_27,2025-08-10,3.0.1
28,App Store,4,Really smooth and reliable.,user_28,2025-08-09,3.0.1
29,Google Play,4,Amazing app!,user_29,2025-08-09,3.0.1
30,App Store,3,Ads are very annoying.,user_30,2025-07-21,3.1.0
31,Google Play,4,Really smooth and reliable.,user_31,2025-06-26,2.2.0
32,Google Play,3,Visit my website for free gifts!!!,user_32,2025-07-06,3.0.1
33,App Store,3,Check out my channel for hacks!,user_33,2025-08-08,3.0.1
34,App Store,4,asdfghjkl qwertyuiop,user_34,2025-07-10,2.1.3
35,Google Play,1,Notifications stopped working.,user_35,2025-07-30,3.1.0
36,Google Play,4,Really smooth and reliable.,user_36,2025-08-25,2.1.3
37,Google Play,2,Check out my channel for hacks!,user_37,2025-07-25,2.2.0
38,App Store,2,The app is too slow on my phone.,user_38,2025-08-06,3.1.0
39,Google Play,1,Notifications stopped working.,user_39,2025-07-25,2.1.3
40,App Store,1,Ads are very annoying.,user_40,2025-07-10,2.1.3
41,Google Play,1,Notifications stopped working.,user_41,2025-07-22,2.1.3
42,Google Play,5,Make money fast $$$,user_42,2025-08-06,3.0.1
43,Google Play,2,Can't login since the last update.,user_43,2025-07-07,2.1.3
44,App Store,3,Missing functionality for exporting data.,user_44,2025-07-24,2.1.3
45,Google Play,2,Keeps freezing after 5 minutes of use.,user_45,2025-08-16,2.1.3
46,App Store,3,Missing functionality for exporting data.,user_46,2025-06-29,3.0.1
47,Google Play,5,Really smooth and reliable.,user_47,2025-07-30,3.1.0
48,App Store,2,Too expensive for what it offers.,user_48,2025-07-14,2.2.0
49,App Store,5,Download XYZ app for free coins.,user_49,2025-06-26,3.1.0
50,Google Play,2,Download XYZ app for free coins.,user_50,2025-08-01,2.2.0
